#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 950  40
# Band-Index:    1
   2.37651    -45.996044    -45.996028
   2.38606    -45.996069    -45.996053
   2.39561    -45.996094    -45.996079
   2.40515    -45.996120    -45.996105
   2.41470    -45.996147    -45.996132
   2.42425    -45.996174    -45.996159
   2.43379    -45.996202    -45.996186
   2.44334    -45.996229    -45.996214
   2.45289    -45.996258    -45.996242
   2.46244    -45.996286    -45.996271
   2.47198    -45.996315    -45.996300
   2.48153    -45.996344    -45.996329
   2.49108    -45.996374    -45.996359
   2.50062    -45.996404    -45.996389
   2.51017    -45.996435    -45.996420
   2.51972    -45.996466    -45.996451
   2.51972    -45.996466    -45.996451
   2.52927    -45.996435    -45.996420
   2.53881    -45.996404    -45.996389
   2.54836    -45.996374    -45.996359
   2.55791    -45.996344    -45.996329
   2.56745    -45.996315    -45.996300
   2.57700    -45.996286    -45.996271
   2.58655    -45.996258    -45.996242
   2.59610    -45.996229    -45.996214
   2.60564    -45.996202    -45.996186
   2.61519    -45.996174    -45.996159
   2.62474    -45.996147    -45.996132
   2.63429    -45.996120    -45.996105
   2.64383    -45.996094    -45.996079
   2.65338    -45.996068    -45.996053
   2.66293    -45.996044    -45.996028
   2.67247    -45.996019    -45.996004
   2.68202    -45.995995    -45.995980
   2.69157    -45.995972    -45.995957
   2.70112    -45.995950    -45.995935
   2.71066    -45.995928    -45.995913
   2.72021    -45.995907    -45.995892
   2.72976    -45.995887    -45.995872
   2.73930    -45.995867    -45.995852
   2.74885    -45.995848    -45.995833
   2.75840    -45.995830    -45.995815
   2.76795    -45.995813    -45.995797
   2.77749    -45.995796    -45.995780
   2.78704    -45.995780    -45.995764
   2.79659    -45.995764    -45.995749
   2.80613    -45.995750    -45.995735
   2.81568    -45.995736    -45.995721
   2.82523    -45.995723    -45.995708
   2.83478    -45.995710    -45.995695
   2.84432    -45.995698    -45.995683
   2.85387    -45.995687    -45.995672
   2.86342    -45.995677    -45.995662
   2.87297    -45.995668    -45.995652
   2.88251    -45.995659    -45.995644
   2.89206    -45.995651    -45.995636
   2.90161    -45.995644    -45.995629
